"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5036","Searching results match with Name and number on search dropdown {""searchTerm"":""psy""}","","Tue Dec 05 21:25:33 CET 2023","passed","Tue Dec 05 21:25:38 CET 2023","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""psy""}"
"","5029","Searching results match with Name and number on search dropdown {""searchTerm"":""Myst""}","","Tue Dec 05 21:25:23 CET 2023","passed","Tue Dec 05 21:25:28 CET 2023","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Myst""}"
"","0","Searching results match with Name and number on search dropdown {""searchTerm"":""123""} @getSearchTerm","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""123""} @getSearchTerm"
"","0","BeforeSuite of suite Select a Category @psychics-by-category failed.","","Sat Nov 16 14:43:22 CET 2024","failed","Sat Nov 16 14:43:22 CET 2024","","Select a Category @psychics-by-category","Select a Category @psychics-by-category","BeforeSuite of suite Select a Category @psychics-by-category failed."
"","0","Clicking on show all result 'name' from dropdown should show list with same name. {""name"":""Ann""} @getSearchListforuser","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Psychics Searching Results","Psychics Searching Results","Clicking on show all result 'name' from dropdown should show list with same name. {""name"":""Ann""} @getSearchListforuser"
"","0","Validate for live stream psychic sign up first to get start session @signup-to-get-Start-session","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to get start session @signup-to-get-Start-session"
"","0","BeforeSuite of suite Navigate to a Psychic's Livestream failed.","","Sat Nov 16 14:43:22 CET 2024","failed","Sat Nov 16 14:43:22 CET 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","BeforeSuite of suite Navigate to a Psychic's Livestream failed."
"","3773","Select a category with its matching psychics {""category"":""Energy work""} @category-results","","Tue Dec 05 23:29:52 CET 2023","passed","Tue Dec 05 23:29:56 CET 2023","","Select a Category @psychics-by-category","Select a Category @psychics-by-category","Select a category with its matching psychics {""category"":""Energy work""} @category-results"
"","0","Validate for live stream psychic sign up first to get surprise button @signup-to-a-suprise-buttons","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to get surprise button @signup-to-a-suprise-buttons"
"","4992","Validate for live stream psychic sign up first to Get Free Credits @signup-to-get-credits","","Tue Dec 05 21:25:51 CET 2023","passed","Tue Dec 05 21:25:56 CET 2023","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to Get Free Credits @signup-to-get-credits"
"","1","Searching results match with Name and number on search dropdown {""searchTerm"":""psy""} @getSearchTerm","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""psy""} @getSearchTerm"
"","0","Validate for live stream psychic sign up first to add favorites @signup-to-add-favorites","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Navigate to a Psychic's Livestream","Navigate to a Psychic's Livestream","Validate for live stream psychic sign up first to add favorites @signup-to-add-favorites"
"","0","BeforeSuite of suite Psychics Searching Results failed.","","Sat Nov 16 14:43:22 CET 2024","failed","Sat Nov 16 14:43:22 CET 2024","","Psychics Searching Results","Psychics Searching Results","BeforeSuite of suite Psychics Searching Results failed."
"","5183","Searching results match with Name and number on search dropdown {""searchTerm"":""123""}","","Tue Dec 05 21:25:38 CET 2023","passed","Tue Dec 05 21:25:43 CET 2023","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""123""}"
"","6325","Searching results match with Name and number on search dropdown {""searchTerm"":""Matt""}","","Tue Dec 05 21:25:16 CET 2023","passed","Tue Dec 05 21:25:23 CET 2023","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Matt""}"
"","0","Searching results match with Name and number on search dropdown {""searchTerm"":""Myst""} @getSearchTerm","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Myst""} @getSearchTerm"
"","5228","Searching results match with Name and number on search dropdown {""searchTerm"":""Ann""}","","Tue Dec 05 21:25:28 CET 2023","passed","Tue Dec 05 21:25:33 CET 2023","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Ann""}"
"","0","Searching results match with Name and number on search dropdown {""searchTerm"":""Ann""} @getSearchTerm","","Sat Nov 16 14:43:22 CET 2024","skipped","Sat Nov 16 14:43:22 CET 2024","","Psychics Searching Results","Psychics Searching Results","Searching results match with Name and number on search dropdown {""searchTerm"":""Ann""} @getSearchTerm"
